Pond,Date,Time,Temp_degC,DO_mg.L,Depth_m,SPC_uS.cm,pH,Redox_mV,DO_perc,Sal_ppt,,
66,1993-09-15,12:05:00,12.22,9.03,0,27.1,9.17,256,98.5,16.6,,
67,1993-09-15,10:39:00,9.23,11.35,0,1.45,8.4,295,104.3,0.8,,
67,1993-09-15,10:39:00,9.03,11.86,0.4,1.45,8.44,295,108.6,0.8,,
86,1993-09-15,17:00:00,9.57,8.38,0,0.39,7.79,314,77.4,0.2,,
86,1993-09-15,17:01:00,8.69,6.62,0,0.41,7.22,277,59.9,0.2,,
90,1993-09-15,16:24:00,12.96,9.96,0,9.12,7.55,298,102.8,5.1,,
4857,1993-09-15,10:06:00,8.82,10.05,0,0.82,8.31,308,91.3,0.4,,
4857,1993-09-15,10:07:00,8.8,9.49,0.2,0.83,8.28,301,86.2,0.4,,
Gursky,1993-09-15,17:41:00,10.45,10.01,0,0.79,8.77,274,94.5,0.4,,
Gursky,1993-09-15,17:42:00,10.5,9.91,0.3,0.79,8.78,275,93.6,0.4,,
Gursky,1993-09-15,17:43:00,10.49,10.01,0.8,0.79,8.79,276,94.6,0.4,,
Gursky,1993-09-15,17:43:00,10.47,9.89,1.3,0.79,8.79,276,93.4,0.4,,
Gursky,1993-09-15,17:44:00,10.42,9.51,1.8,0.79,8.78,278,89.8,0.4,,
Gursky,1993-09-15,17:45:00,10.42,9.43,2.3,0.79,8.78,278,89,0.4,,
1,1993-10-14,14:55:00,5.78,106.8,0.1,2.45,8.84,317,106.8,1.3,,
1,1993-10-14,14:57:00,5.83,104.4,0.6,2.35,8.87,314,104.4,1.3,,
1,1993-10-14,14:57:00,5.87,103.8,0.8,2.45,8.87,313,103.8,1.3,,
20,1993-10-14,11:16:00,4.56,99,0.1,1.65,8.42,328,99,0.9,,
20,1993-10-14,11:17:00,4.56,96.5,0.5,1.66,8.43,325,96.5,0.9,,
20,1993-10-14,11:18:00,4.56,98.6,0.8,1.65,8.44,323,98.6,0.9,,
25,1993-10-14,13:45:00,5.07,101.5,0.1,1.79,8.4,266,101.5,1,,
25,1993-10-14,13:46:00,5.01,100.2,0.3,1.82,8.39,266,100.2,1,,
65,1993-10-14,12:02:00,4.94,96.9,0.1,4.04,8.29,336,96.9,2.2,,
65,1993-10-14,12:02:00,4.81,94.9,0.6,4.06,8.27,336,94.9,2.2,,
65,1993-10-14,12:21:00,4.74,94.5,0.7,4.09,8.27,337,94.5,2.2,,
66,1993-10-14,12:05:00,4.76,97.1,0.2,35.1,8.7,349,97.1,22.1,,
67,1993-10-14,13:51:00,6.34,84.5,0,7.38,5.04,288,84.5,4.1,,
67,1993-10-14,13:52:00,6.03,81.4,0.2,7.53,5.01,282,81.4,4.2,,
86,1993-10-14,15:26:00,5.35,55.3,0.2,0.56,7.09,358,55.3,0.3,,
90,1993-10-14,16:03:00,7.59,78.8,0.1,11.38,6,218,78.8,6.5,,
4857,1993-10-14,10:42:00,4.23,90.2,0,0.97,8.16,339,90.2,0.5,,
4857,1993-10-14,10:44:00,4.26,85.1,0.2,0.98,8.18,335,85.1,0.5,,
4857,1993-10-14,10:45:00,4.23,84.1,0.5,0.97,8.2,330,84.1,0.5,,
