DATA table Built from table WEVS_96 on 27-FEB-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Station,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,,,,,,,,,,,,,,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961607,65,15-Oct-96 ,289,1446,2672.00,3264.00,32.32,31.30,641.00,6.12,4.22,1.02,0.04,0.20,0.00,2.15,2.05,0.10,0.00,0.08,536.00,5.10,8.38,1622.70,1086.70,255.00,24.90,325.00,1.20,0.01,0.09,0.04,0.049,1570.00,41.80,43.60,114.00,12.143,53.723,4.424,3.29,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960343,66,08-May-96 ,129,1517,16580.00,15382.00,62.75,55.30,355.90,0.00,12.05,7.45,L0.010,0.47,0.00,4.08,3.09,0.99,0.00,0.01,292.00,0.00,7.67,7452.00,7160.00,2380.00,40.50,1730.00,2.65,0.01,0.38,0.15,0.225,11600.00,433.00,127.00,132.00,8.815,85.454,9.694,8.74,,,,,,,,,,,,,,
960514,66,11-Jun-96 ,163,1010,1552.00,2105.00,27.59,26.80,358.40,0.00,8.57,0.79,L0.010,0.04,0.00,1.61,1.49,0.12,0.00,0.05,294.00,0.00,7.82,967.00,673.00,147.00,24.20,184.00,10.20,0.00,0.06,0.04,0.011,897.00,25.90,27.50,83.90,8.025,185.585,23.127,2.45,,,,,,,,,,,,,,
960821,66,10-Jul-96 ,192,1020,17282.00,16281.00,63.28,62.34,251.60,111.96,0.38,0.94,L0.010,0.06,0.01,4.26,4.09,0.17,0.00,L.01,393.00,93.30,9.23,8415.20,8022.20,2460.00,38.40,1950.00,1.29,0.02,0.18,0.15,0.035,11900.00,440.00,140.00,155.00,6.606,69.314,10.492,2.17,,,,,,,,,,,,,,
961100,66,14-Aug-96 ,227,0930,,19692.00,70.08,69.50,53.60,141.60,0.04,0.58,L0.010,0.10,0.04,3.73,3.64,0.09,0.00,SusInt,280.00,118.00,9.87,10756.90,10476.90,2980.00,37.10,2500.00,0.39,0.01,0.14,0.11,0.029,15700.00,577.00,176.00,186.00,7.729,51.884,6.713,1.21,,,,,,,,,,,,,,
961469,66,19-Sep-96 ,263,1000,26821.00,23249.00,100.90,84.10,700.90,45.60,3.11,16.80,L0.010,0.13,0.00,10.20,7.87,2.33,0.00,0.01,651.00,38.00,8.59,12966.40,12315.40,3640.00,37.40,3030.00,5.07,0.02,0.38,0.14,0.242,18600.00,730.00,228.00,197.00,8.412,179.165,21.299,32.24,,,,,,,,,,,,,,
961608,66,15-Oct-96 ,289,1500,,,,88.80,,,,3.85,L0.010,0.10,,,7.74,0.74,,,,,,,,,,,,0.02,0.32,0.17,,,,,,6.062,NC,NC,10.15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960341,67,08-May-96 ,129,1420,1833.00,2385.00,24.67,24.20,276.70,0.00,4.78,0.47,L0.010,0.10,0.00,1.71,1.62,0.09,0.00,0.04,227.00,0.00,7.96,1132.20,905.20,160.00,23.00,230.00,6.08,0.00,0.07,0.05,0.021,1170.00,27.80,28.40,74.20,6.382,57.147,8.954,6.58,,,,,,,,,,,,,,
960512,67,11-Jun-96 ,163,0945,2974.00,3475.00,37.80,37.00,444.90,0.00,9.92,0.80,L0.010,0.25,0.00,2.50,2.35,0.15,0.00,0.08,365.00,0.00,7.85,1775.90,1410.90,254.00,23.20,361.00,15.40,0.09,0.18,0.15,0.031,1920.00,47.20,40.80,116.00,6.409,66.769,10.418,1.11,,,,,,,,,,,,,,
960820,67,10-Jul-96 ,192,1010,,3615.00,,36.90,,,,2.88,L0.010,0.16,,,2.26,0.41,,,436.00,0.00,7.92,,,268.00,,379.00,17.30,0.08,0.22,0.18,,1960.00,45.30,45.20,120.00,8.136,NC,NC,3.98,,,,,,,,,,,,,,
961098,67,14-Aug-96 ,227,0900,3609.00,4153.00,46.07,45.70,604.60,0.00,6.40,0.37,0.02,0.56,0.01,2.91,2.83,0.08,0.00,0.06,496.00,0.00,8.17,2188.30,1692.30,323.00,23.80,446.00,17.40,0.05,0.14,0.12,0.023,2280.00,50.70,53.00,141.00,5.329,41.518,7.791,4.04,,,,,,,,,,,,,,
961468,67,19-Sep-96 ,263,0950,2620.00,3160.00,54.90,30.60,657.00,0.00,8.58,24.30,0.02,0.62,0.02,5.61,2.79,2.82,0.00,0.08,539.00,0.00,8.08,1545.20,1006.20,246.00,25.10,308.00,8.38,0.01,0.25,0.04,0.211,1540.00,40.80,42.10,111.00,10.053,297.224,29.565,4.32,,,,,,,,,,,,,,
961606,67,15-Oct-96 ,289,1430,4221.00,4676.00,51.64,51.00,592.40,35.40,2.20,0.64,L0.010,0.09,0.00,2.33,2.25,0.08,0.00,0.06,545.00,29.50,8.66,2517.60,1972.60,374.00,23.90,526.00,0.90,0.00,0.07,0.05,0.013,2730.00,62.70,58.90,141.00,9.855,127.453,12.933,2.76,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960346,86,09-May-96 ,130,1025,140.00,250.00,12.09,11.80,124.30,0.00,4.51,0.29,L0.010,0.02,0.00,0.90,0.85,0.05,0.00,0.04,102.00,0.00,7.64,110.30,8.30,1.29,2.20,10.00,14.10,0.22,0.33,0.29,0.035,12.00,3.05,10.90,27.70,6.860,21.679,3.160,0.8,,,,,,,,,,,,,,
960518,86,11-Jun-96 ,163,1215,207.00,366.00,18.48,17.60,201.10,0.00,11.59,0.88,L0.010,0.12,0.00,1.42,1.28,0.14,0.00,0.07,165.00,0.00,7.44,175.30,10.30,1.63,1.80,17.10,20.60,0.51,0.66,0.54,0.114,7.10,3.68,15.40,42.00,7.397,19.809,2.678,6.33,,,,,,,,,,,,,,
960819,86,10-Jul-96 ,192,0955,199.00,369.00,28.22,19.60,207.20,0.00,32.94,8.62,L0.010,0.02,0.00,2.57,1.50,1.07,0.00,0.06,170.00,0.00,7.00,180.00,10.00,1.45,1.60,18.00,12.90,0.50,0.92,0.59,0.329,5.10,2.31,14.80,42.40,9.399,67.619,7.195,51.19,,,,,,,,,,,,,,
961103,86,14-Aug-96 ,227,1050,217.00,413.00,28.87,21.10,254.80,0.00,16.86,7.77,L0.010,0.04,0.00,2.53,1.30,1.23,0.00,0.09,209.00,0.00,7.38,201.10,0.00,1.69,1.60,21.00,0.96,0.20,1.29,0.28,1.013,4.30,2.15,15.80,45.90,7.370,19.796,2.686,147.92,,,,,,,,,,,,,,
